"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Mobile Phone & PDA","OS-STore.com Products","139","Yes","cell-phone-pda","Mobile Phone Cell Phone PDA Accessories LCD Display Screen Touch Digitizer Panel Housing Case Back Cover Battery Memory Card Protect Charger","Motorola_A1200_Ming_1.jpg","Mobile Phone Cell Phone PDA Accessories LCD Display Screen Touch Digitizer Panel Housing Case Back Cover Battery Memory Card Protect Charger","Mobile Phone Cell Phone PDA Accessories LCD Display Screen Touch Digitizer Panel Housing Case Back Cover Battery Memory Card Protect Charger","Mobile Phone Cell Phone PDA Accessories LCD Display Screen Touch Digitizer Panel Housing Case Back Cover Battery Memory Card Protect Charger","Yes","Products only","","Yes","Best Value,Name,Price","","No layout updates",""
"Watches_accessories","OS-STore.com Products","223","No","watches-acces","","","","","","Yes","Products only","","No","","","No layout updates",""
"Sporting_Goods","OS-STore.com Products","229","No","sporting-goods","","","","","","Yes","Products only","","No","","","No layout updates",""
"Toys","OS-STore.com Products","231","No","toys","","","","","","Yes","Products only","","No","","","No layout updates",""
"Software","OS-STore.com Products","159","Yes","software","Download software, discounts & coupons for antivirus, spyware blockers, security suites, design, multimedia, tax software downloads","software_1.jpg","Software and download-os-store.com","os-store software,software download","Download software, discounts & coupons for antivirus, spyware blockers, security suites, design, multimedia, tax software downloads","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Babys","OS-STore.com Products","228","No","babys","","","","","","Yes","Products only","","No","","","No layout updates",""
"Books","OS-STore.com Products","232","No","books","","","","","","Yes","Products only","","No","","","No layout updates",""
"Makeup","OS-STore.com Products","233","No","makeup","","","","","","Yes","Products only","","No","","","No layout updates",""
"Apple iPhone iPad iPod","OS-STore.com Products","126","Yes","apple-iphone-ipad-ipod","Here, we offer different kinds of Apple parts, such as display screen, flex cable, housing, touch screen and so on. These Apple parts are high quality and low price, choose some phone parts for your Apple. ","2_1.jpg","Apple iPhone iPad iPod parts","Apple IPhone IPod IPad LCD Display,Touch Digitizer Screen,Housing Cover,Battery,Flex Cable,Charger,Earphone","Os-store.com offers the best deals on Apple IPhone IPod IPad LCD Display,Touch Digitizer Screen,Housing Cover,Battery,Flex Cable,Charger,Earphone with Fast and Easy Shipping.","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Service","OS-STore.com Products","235","No","service","","","","","","Yes","Products only","","No","","","No layout updates",""
"IC Chipset","OS-STore.com Products","134","Yes","ic-chipset","We wholesale sis chipset,Analog chipset,Maxim chipset,Nvidia chipset,ATI chipset,Intel chipset and so on","icchipset1.gif","Os-store.com - chipset,South Bridge chipset,chip sets,motherboard chipset,computer ic","sis chipset,Analog chipset,Maxim chipset,Nvidia chipset,ATI chipset,Intel chipset","Os-store.com offer the best deals on sis chipset,Analog chipset,Maxim chipset,Nvidia chipset,ATI chipset,Intel chipset with Fast and Easy Shipping","Yes","Products only","","Yes","Best Value,Name,Price","","No layout updates",""
"Projector","OS-STore.com Products","145","Yes","projector","shopping projector,video projector,LCD projector,DLP & HD projector online.","projector.gif","Projector suppliers, Video, LCD, DLP & HD Projectors","Projector suppliers, Video, LCD, DLP & HD Projectors","os-store is a leading supplier of projector,video projector,LCD projector,DLP & HD projector.","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Digital Products","OS-STore.com Products","142","Yes","digital-products","os-store is a leading of digital products. Whether you\'re looking to sell, promote, or shop for digital goods, os-store.com is for you","digitalproducts.gif","Digital Products,wholesale digital products,os-store.com","digital products,digital goods,wholesale digital products","os-store is a leading of digital products. Whether you\'re looking to sell, promote, or shop for digital goods, os-store is for you","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Video Game","OS-STore.com Products","143","Yes","video-game","PSP PS2 PS3 WII Xbox 360 Nintendo DS LCD Display Screen Housing Case Back Cove Battery Memory Card Protect Charger Repair Parts","videogame.gif","os-store.com - PSP PS2 PS3 WII Xbox 360 Nintendo DS LCD Display Screen Housing Case Back Cove Battery Memory Card Protect Charger Repair Parts","PSP PS2 PS3 WII Xbox 360 Nintendo DS LCD Display Screen Housing Case Back Cove Battery Memory Card Protect Charger Repair Parts","PSP PS2 PS3 WII Xbox 360 Nintendo DS LCD Display Screen Housing Case Back Cove Battery Memory Card Protect Charger Repair Parts","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Camera & Parts","OS-STore.com Products","141","Yes","camera-parts","Battery HandyCam Video Digital Camera Charger Case Cam DC DSC recharger Lenses Filters Tripods Supports Lighting Grip Holder","2011031016150731492.jpg","Battery HandyCam Video Digital Camera Charger Case Cam DC DSC recharger Lenses Filters Tripods Supports Lighting Grip Holder","Battery HandyCam Video Digital Camera Charger Case Cam DC DSC recharger Lenses Filters Tripods Supports Lighting Grip Holder","Battery HandyCam Video Digital Camera Charger Case Cam DC DSC recharger Lenses Filters Tripods Supports Lighting Grip Holder","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"LG","OS-STore.com Products/Mobile Phone & PDA","98","Yes","lg","LG Mobile Phone LCD Display Touch Digitizer Screen Housing Case Battery Cover","lg-optimus-2x-2.jpg","os-store.com - LG Mobile Phone LCD Display Touch Digitizer Screen Housing Case Battery Cover","LG Mobile Phone LCD Display Touch Digitizer Screen Housing Case Battery Cover","LG Mobile Phone LCD Display Touch Digitizer Screen Housing Case Battery Cover","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Battery","OS-STore.com Products/Computer","74","Yes","laptop-battery","","","","","","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Sony Ericsson","OS-STore.com Products/Mobile Phone & PDA","97","Yes","sony-ericsson","Sony Ericsson Mobile Phone LCD Display Touch Digitizer Screen Housing Case Battery Cover","file_14.jpg","os-store.com - Sony Ericsson Mobile Phone LCD Display Touch Digitizer Screen Housing Case Battery Cover","Sony Ericsson Mobile Phone LCD Display Touch Digitizer Screen Housing Case Battery Cover","Sony Ericsson Mobile Phone LCD Display Touch Digitizer Screen Housing Case Battery Cover","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Smart Home","OS-STore.com Products/Security Products","7","Yes","smart-home","","nEO_IMG_Smart_Honme.jpg","","","","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
"Access Control System","OS-STore.com Products/Security Products","5","Yes","access-control-system","","nEO_IMG_Access_Control_System.jpg","","","","Yes","Products only","","No","Best Value,Name,Price","","No layout updates",""
