"name","price","qty","sku","condition","meta_description","meta_keyword","meta_title","weight","attribute_set"
"New Original Nokia Lumia 710 Windows Phone 7.5 Mango OS Smart Cell Mobile Phone Unlocked","250.0000","29.0000","osst-20121016065854","New & Unused","New Original Nokia Lumia 710 Windows Phone 7.5 Mango OS Smart Cell Mobile Phone Unlocked","New Original Nokia Lumia 710 Windows Phone 7.5 Mango OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Nokia E6 E6-00 Symbian Anna OS Smart Cell Mobile Phone Unlocked","270.0000","29.0000","osst-20121016070546","New & Unused","New Original Nokia E6 E6-00 Symbian Anna OS Smart Cell Mobile Phone Unlocked","New Original Nokia E6 E6-00 Symbian Anna OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Nokia E6 E6-00 Symbian Anna OS Smart Cell Mobile Phone Unlocked","235.0000","29.0000","osst-20121016071524","Refurbished","Original Nokia E6 E6-00 Symbian Anna OS Smart Cell Mobile Phone Unlocked","Original Nokia E6 E6-00 Symbian Anna OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Nokia E63 Symbian OS Smart Cell Mobile Phone Unlocked","135.0000","28.0000","osst-20121016072005","Refurbished","Original Nokia E63 Symbian OS Smart Cell Mobile Phone Unlocked","Original Nokia E63 Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Nokia E63 Symbian OS Smart Cell Mobile Phone Unlocked","155.0000","29.0000","osst-20121016073336","New & Unused","New Original Nokia E63 Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia E63 Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Nokia E71 Symbian OS Smart Cell Mobile Phone Unlocked","155.0000","29.0000","osst-20121016074052","New & Unused","New Original Nokia E71 Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia E71 Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Nokia E71 Symbian OS Smart Cell Mobile Phone Unlocked","125.0000","29.0000","osst-20121016074911","Refurbished","Original Nokia E71 Symbian OS Smart Cell Mobile Phone Unlocked","Original Nokia E71 Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Nokia 5800 XpressMusic Symbian OS Smart Cell Mobile Phone Unlocked","165.0000","29.0000","osst-20121016075418","New & Unused","New Original Nokia 5800 XpressMusic Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia 5800 XpressMusic Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Nokia 5800 XpressMusic Symbian OS Smart Cell Mobile Phone Unlocked","135.0000","29.0000","osst-20121017024212","Refurbished","Original Nokia 5800 XpressMusic Symbian OS Smart Cell Mobile Phone Unlocked","Original Nokia 5800 XpressMusic Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Nokia N78 Symbian OS Smart Cell Mobile Phone Unlocked","115.0000","29.0000","osst-20121017032410","New & Unused","New Original Nokia N78 Symbian OS Smart Cell Mobile Phone Unlocked","New Original Nokia N78 Symbian OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
