"name","sku","price","qty","weight","meta_description","meta_keyword","meta_title","model_number"
"AMD FX-Series FX-6100 FX6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","osst-20120505062248","112.0000","30.0000","299.0000","AMD FX-Series FX-6100 FX6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","AMD FX-Series FX-6100 FX6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","AMD FX-Series FX-6100 FX6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","AMD  FX-6100"
"New AMD FX-Series FX-6100 FX6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","osst-20120505062530","125.0000","30.0000","299.0000","New AMD FX-Series FX-6100 FX6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","New AMD FX-Series FX-6100 FX6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","New AMD FX-Series FX-6100 FX6100 DeskTop CPU Socket AM3 938 FD6100WMW6KGU FD6100WMGUSBX","AMD  FX-6100"
"New AMD FX-Series FX-6200 FX6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","osst-20120505062734","150.0000","30.0000","299.0000","New AMD FX-Series FX-6200 FX6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","New AMD FX-Series FX-6200 FX6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","New AMD FX-Series FX-6200 FX6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","AMD  FX-6200"
"AMD FX-Series FX-6200 FX6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","osst-20120505062931","170.0000","30.0000","299.0000","AMD FX-Series FX-6200 FX6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","AMD FX-Series FX-6200 FX6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","AMD FX-Series FX-6200 FX6200 DeskTop CPU Socket AM3 938 FD6200FRW6KGU FD6200FRGUBOX","AMD  FX-6200"
"AMD FX-Series FX-8100 FX8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX 8MB","osst-20120505063307","195.0000","30.0000","299.0000","AMD FX-Series FX-8100 FX8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX 8MB","AMD FX-Series FX-8100 FX8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX 8MB","AMD FX-Series FX-8100 FX8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX 8MB","AMD  FX-8100"
"New AMD FX-Series FX-8100 FX8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX","osst-20120505063534","235.0000","30.0000","499.0000","New AMD FX-Series FX-8100 FX8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX","New AMD FX-Series FX-8100 FX8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX","New AMD FX-Series FX-8100 FX8100 DeskTop CPU Socket AM3 938 FD8100WMW8KGU FD8100WMGUSBX","AMD  FX-8100"
"New AMD FX-Series FX-8120 FX8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX FD8120FRGUWOX 3.1GHz 8MB 8 cores","osst-20120505063759","175.0000","39.0000","299.0000","New AMD FX-Series FX-8120 FX8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX FD8120FRGUWOX 3.1GHz 8MB 8 cores","New AMD FX-Series FX-8120 FX8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX FD8120FRGUWOX 3.1GHz 8MB 8 cores","New AMD FX-Series FX-8120 FX8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX FD8120FRGUWOX 3.1GHz 8MB 8 cores","FX-8120"
"AMD FX-Series FX-8120 FX8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX FD8120FRGUWOX 3.1GHz 8MB 8 cores","osst-20120505063937","155.0000","30.0000","299.0000","AMD FX-Series FX-8120 FX8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX FD8120FRGUWOX 3.1GHz 8MB 8 cores","AMD FX-Series FX-8120 FX8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX FD8120FRGUWOX 3.1GHz 8MB 8 cores","AMD FX-Series FX-8120 FX8120 DeskTop CPU Socket AM3 938 FD8120FRW8KGU FD8120FRGUBOX FD8120FRGUWOX 3.1GHz 8MB 8 cores","AMD  FX-8120"
"	 AMD FX-Series FX-8150 FX8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","osst-20120505064202","195.0000","30.0000","299.0000","	 AMD FX-Series FX-8150 FX8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","	 AMD FX-Series FX-8150 FX8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","	 AMD FX-Series FX-8150 FX8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","AMD  FX-8150"
"New AMD FX-Series FX-8150 FX8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","osst-20120505064508","225.0000","30.0000","499.0000","New AMD FX-Series FX-8150 FX8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","New AMD FX-Series FX-8150 FX8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","New AMD FX-Series FX-8150 FX8150 DeskTop CPU Socket AM3 938 FD8150FRW8KGU FD8150FRGUBOX 8MB","AMD  FX-8150"
