"name","sku","memory_capacity","memory_speed","dram_module_brand"
"Elpida DDR3 4GB 4096MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054389","4GB","","Blank"
"Samsung DDR1 256MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054400","256MB","","Blank"
"Samsung DDR1 256MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054401","256MB","","Blank"
"Samsung DDR1 256MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054402","256MB","","Blank"
"Samsung DDR1 256MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054403","256MB","","Blank"
"Samsung DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054404","512MB","","Blank"
"Samsung DDR1 512MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054406","512MB","","Blank"
"Samsung DDR1 512MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054407","512MB","","Blank"
"Samsung DDR1 1GB 1024MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054409","1GB","","Blank"
"Samsung DDR1 1GB 1024MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054410","1GB","","Blank"
"Samsung DDR1 1GB 1024MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054411","1GB","","Blank"
"Samsung DDR1 1GB 1024MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054418","1GB","","Blank"
"Samsung DDR1 1GB 1024MB PC 3200S 400MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054419","1GB","","Blank"
"Samsung DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054432","1GB","","Blank"
"Samsung DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054433","1GB","","Blank"
"Samsung DDR2 1GB 1024MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054434","1GB","","Blank"
"Samsung DDR2 2GB 2048MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054436","2GB","","Blank"
"Samsung DDR2 2GB 2048MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054437","2GB","","Blank"
"Samsung DDR2 4GB 4096MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054438","4GB","","Blank"
