"name","sku","price","qty","weight","meta_description","meta_keyword","meta_title","model_number"
"OEM Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478 1.30GHz 512K 400","osst-20120320042142","12.5000","50.0000","51.0000","OEM Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478 1.30GHz 512K 400","OEM Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478 1.30GHz 512K 400","OEM Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478 1.30GHz 512K 400","Intel Celeron"
"Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400","osst-20120320042902","7.5000","50.0000","51.0000","Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400","Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400","Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400","Intel Celeron"
"OEM Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400","osst-20120320043713","12.5000","50.0000","51.0000","OEM Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400","OEM Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400","OEM Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400","Intel Celeron"
"OEM Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400","osst-20120320043947","15.0000","50.0000","51.0000","OEM Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400","OEM Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400","OEM Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400","Intel Celeron"
"Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400","osst-20120320055529","7.5000","50.0000","51.0000","Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400","Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400","Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400","Intel Celeron"
"Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz","osst-20120320060226","7.5000","50.0000","51.0000","Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz","Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz","Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz","Intel Celeron"
"OEM Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz","osst-20120320060940","18.5000","50.0000","51.0000","OEM Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz","OEM Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz","OEM Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz","Intel Celeron"
"OEM Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz","osst-20120320061339","22.0000","50.0000","51.0000","OEM Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz","OEM Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz","OEM Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz","Intel Celeron"
"Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz","osst-20120320062251","9.5000","50.0000","51.0000","Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz","Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz","Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz","Intel Celeron M360"
"Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz","osst-20120320064102","25.0000","50.0000","51.0000","Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz","Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz","Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz","Intel Celeron M370"
"OEM Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz","osst-20120320064928","35.0000","50.0000","51.0000","OEM Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz","OEM Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz","OEM Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz","Intel Celeron M370"
"OEM Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz","osst-20120320071605","35.0000","50.0000","51.0000","OEM Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz","OEM Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz","OEM Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz","Intel Celeron M380"
