"name","sku","price","meta_description","meta_keyword","meta_title","qty"
"WD Western Digital 3.5"" 2.5TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","osst-20120321065109","180.0000","WD Western Digital 3.5"" 2.5TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 2.5TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 2.5TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 1.5TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","osst-20120321065834","112.0000","WD Western Digital 3.5"" 1.5TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 1.5TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 1.5TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","59.0000"
"Maxtor 3.5"" 40GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321073534","35.0000","Maxtor 3.5"" 40GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 40GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 40GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"Maxtor 3.5"" 60GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321080947","35.0000","Maxtor 3.5"" 60GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 60GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 60GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"Maxtor 3.5"" 80GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321081147","35.0000","Maxtor 3.5"" 80GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 80GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 80GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"Maxtor 3.5"" 100GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321082313","45.0000","Maxtor 3.5"" 100GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 100GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 100GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"Maxtor 3.5"" 120GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321082658","45.0000","Maxtor 3.5"" 120GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 120GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 120GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"New Maxtor 3.5"" 120GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321082935","55.0000","New Maxtor 3.5"" 120GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","New Maxtor 3.5"" 120GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","New Maxtor 3.5"" 120GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"New Maxtor 3.5"" 160GB 7200 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321083308","58.0000","New Maxtor 3.5"" 160GB 7200 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","New Maxtor 3.5"" 160GB 7200 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","New Maxtor 3.5"" 160GB 7200 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"Maxtor 3.5"" 160GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321083642","48.0000","Maxtor 3.5"" 160GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 160GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 160GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"Maxtor 3.5"" 200GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321083954","58.0000","Maxtor 3.5"" 200GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 200GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 200GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"New Maxtor 3.5"" 200GB 7200 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321084302","65.0000","New Maxtor 3.5"" 200GB 7200 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","New Maxtor 3.5"" 200GB 7200 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","New Maxtor 3.5"" 200GB 7200 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"New Maxtor 3.5"" 250GB 5400 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321084949","68.0000","New Maxtor 3.5"" 250GB 5400 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","New Maxtor 3.5"" 250GB 5400 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","New Maxtor 3.5"" 250GB 5400 RPM 16MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"New Maxtor 3.5"" 250GB 7200 RPM 16MB or 32MB SATA Serial-ATA Hard Disk Driver Desktop","osst-20120321085549","75.0000","New Maxtor 3.5"" 250GB 7200 RPM 16MB or 32MB SATA Serial-ATA Hard Disk Driver Desktop","New Maxtor 3.5"" 250GB 7200 RPM 16/32MB SATA Serial-ATA Hard Disk Driver Desktop","New Maxtor 3.5"" 250GB 7200 RPM 16/32MB SATA Serial-ATA Hard Disk Driver Desktop","59.0000"
"Maxtor 3.5"" 250GB 5400 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321090142","58.0000","Maxtor 3.5"" 250GB 5400 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 250GB 5400 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 250GB 5400 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"Maxtor 3.5"" 250GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321090420","65.0000","Maxtor 3.5"" 250GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 250GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 250GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
"Maxtor 3.5"" 320GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","osst-20120321090705","78.0000","Maxtor 3.5"" 320GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 320GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","Maxtor 3.5"" 320GB 7200 RPM 8MB SATA Serial-ATA Hard Disk Driver Desktop PC","59.0000"
