name,sku,price,qty
" WD Western Digital 3.5"" 100GB 5400 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323101939,28,59
" WD Western Digital 3.5"" 120GB 5400 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120326015035,28,59
"Maxtor 3.5"" 20GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326032603,28,59
"Maxtor 3.5"" 30GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326032719,28,59
"Maxtor 3.5"" 40GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326033253,28,59
"Maxtor 3.5"" 100GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326034139,28,59
"Maxtor 3.5"" 120GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326034238,28,59
"Seagate 3.5"" 80GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120331084708,32,30
"Seagate 3.5"" 20GB 7200RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402023351,28,30
"Seagate 3.5"" 30GB 7200RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402024010,28,30
"Seagate 3.5"" 40GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402024549,28,30
"Seagate 3.5"" 100GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402025700,28,30
"Seagate 3.5"" 120GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402030755,28,30
"IBM Hitachi 3.5"" 20GB PATA 7200 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091461,28,30
"IBM Hitachi 3.5"" 30GB PATA 7200 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091462,28,30
"IBM Hitachi 3.5"" 40GB PATA 7200 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091363,28,30
"IBM Hitachi 3.5"" 100GB PATA 5400 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091366,28,30
"IBM Hitachi 3.5"" 120GB PATA 5400 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091367,28,30
"Hitachi 3.5"" 80GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120423091405,32,30
"Samsung 3.5"" 20GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521031255,28,30
"Samsung 3.5"" 30GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521031841,28,30
"Samsung 3.5"" 40GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521032425,28,30
"Samsung 3.5"" 100GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521033646,28,30
"Samsung 3.5"" 120GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521033842,28,30
"WD Western Digital 3.5"" 60GB 7200 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323101058,32,59
"WD Western Digital 3.5"" 80GB 7200 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323101256,32,59
"Maxtor 3.5"" 60GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326033419,32,59
"Maxtor 3.5"" 60GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326033529,25,59
"Maxtor 3.5"" 80GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120326033812,32,59
"Seagate 3.5"" 60GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402024843,32,30
"Seagate 3.5"" 80GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop PC 40pin",osst-20120402025451,32,30
"IBM Hitachi 3.5"" 60GB PATA 7200 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091464,32,30
"IBM Hitachi 3.5"" 80GB PATA 7200 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091465,32,30
"Samsung 3.5"" 80GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521022327,32,30
"Samsung 3.5"" 60GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521032605,32,30
"Samsung 3.5"" 80GB 7200 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521033230,32,30
"WD Western Digital 3.5"" 540MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323092052,35,0
"WD Western Digital 3.5"" 1GB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323092529,35,59
"WD Western Digital 3.5"" 2GB 2.1GB PATA IDE HDD Hard Disk Driver Desktop",osst-20120323092706,35,59
"WD Western Digital 3.5"" 3GB 3.2GB PATA IDE HDD Hard Disk Driver Desktop",osst-20120323092841,35,59
