name,price,qty,sku,condition,weight,memory_capacity,memory_card_brand,memory_speed
Infineon DDR2 Server 1GB PC2-4200R 533MHZ  DRAM Memory Module ECC REG,22,59,osst-20111103041953,New & Unused,99,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Micron DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110509024755,New & Unused,51,1GB,Micron,PC2-4200 / 533MHz
Micron DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110523033152,New & Unused,51,1GB,Micron,PC2-4200 / 533MHz
Micron DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110507044431,New & Unused,51,1GB,Micron,PC2-4200 / 533MHz
Micron DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110523030920,New & Unused,51,1GB,Micron,PC2-4200 / 533MHz
Micron DDR2 Server 1GB PC2-4200E 533MHZ  DRAM Memory Module ECC ,22,59,osst-20111031031831,New & Unused,99,1GB,Micron,PC2-4200 / 533MHZ
Micron DDR2 Server 1GB PC2-4200F 533MHZ  DRAM Memory Module FB Dimm FBD ,22,59,osst-20111103023807,New & Unused,99,1GB,Micron,PC2-4200 / 533MHZ
Micron DDR2 Server 1GB PC2-4200R 533MHZ  DRAM Memory Module ECC REG ,22,59,osst-20111103022453,New & Unused,99,1GB,Micron,PC2-4200 / 533MHZ
Nanya DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110119055604,New & Unused,51,1GB,Nanya,PC2-4200 / 533MHz
Nanya DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110524030947,New & Unused,51,1GB,Nanya,PC2-4200 / 533MHz
Nanya DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110511035503,New & Unused,51,1GB,Nanya,PC2-4200 / 533MHz
Nanya DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110524041349,New & Unused,51,1GB,Nanya,PC2-4200 / 533MHz
Nanya DDR2 Server 1GB PC2-4200E 533MHZ  DRAM Memory Module ECC ,22,59,osst-20111031030741,New & Unused,99,1GB,Nanya,PC2-4200 / 533MHz
